temple,date,hour,day_of_week,is_weekend,is_holiday,is_festival,weather,temperature,previous_visitors,current_crowd,visitors
Somnath,2025-01-01,0,Wednesday,0,1,0,Clear,27.4,60,182,54
Somnath,2025-01-01,1,Wednesday,0,1,0,Clear,27.1,54,126,31
Somnath,2025-01-01,2,Wednesday,0,1,0,Clear,26.0,31,88,29
Somnath,2025-01-01,3,Wednesday,0,1,0,Clear,27.1,29,133,69
Somnath,2025-01-01,4,Wednesday,0,1,0,Clear,26.5,69,694,471
Somnath,2025-01-01,5,Wednesday,0,1,0,Clear,28.2,471,1842,1132
Somnath,2025-01-01,6,Wednesday,0,1,0,Clear,28.2,1132,3635,2097
Somnath,2025-01-01,7,Wednesday,0,1,0,Clear,30.8,2097,4977,2363
Somnath,2025-01-01,8,Wednesday,0,1,0,Clear,31.5,2363,5461,2405
Somnath,2025-01-01,9,Wednesday,0,1,0,Clear,33.1,2405,5993,2797
Somnath,2025-01-01,10,Wednesday,0,1,0,Clear,33.4,2797,6093,2494
Somnath,2025-01-01,11,Wednesday,0,1,0,Clear,35.8,2494,5344,1958
Somnath,2025-01-01,12,Wednesday,0,1,0,Clear,35.2,1958,3928,1248
Somnath,2025-01-01,13,Wednesday,0,1,0,Clear,36.1,1248,3325,1179
Somnath,2025-01-01,14,Wednesday,0,1,0,Clear,36.4,1179,3353,1343
Somnath,2025-01-01,15,Wednesday,0,1,0,Clear,37.0,1343,3731,1663
Somnath,2025-01-01,16,Wednesday,0,1,0,Clear,36.3,1663,5096,2542
Somnath,2025-01-01,17,Wednesday,0,1,0,Clear,35.0,2542,6623,3092
Somnath,2025-01-01,18,Wednesday,0,1,0,Clear,34.1,3092,7580,3300
Somnath,2025-01-01,19,Wednesday,0,1,0,Clear,33.4,3300,7172,2588
Somnath,2025-01-01,20,Wednesday,0,1,0,Clear,30.0,2588,5634,1952
Somnath,2025-01-01,21,Wednesday,0,1,0,Clear,30.8,1952,4063,1098
Somnath,2025-01-01,22,Wednesday,0,1,0,Clear,29.8,1098,2392,432
Somnath,2025-01-01,23,Wednesday,0,1,0,Clear,27.6,432,1322,169
Somnath,2025-01-02,0,Thursday,0,0,0,Cloudy,20.2,169,625,38
Somnath,2025-01-02,1,Thursday,0,0,0,Cloudy,19.4,38,290,22
Somnath,2025-01-02,2,Thursday,0,0,0,Cloudy,19.6,22,162,23
Somnath,2025-01-02,3,Thursday,0,0,0,Cloudy,19.5,23,136,48
Somnath,2025-01-02,4,Thursday,0,0,0,Cloudy,19.9,48,545,359
Somnath,2025-01-02,5,Thursday,0,0,0,Cloudy,21.2,359,1681,1062
Somnath,2025-01-02,6,Thursday,0,0,0,Cloudy,22.2,1062,2724,1511
Somnath,2025-01-02,7,Thursday,0,0,0,Cloudy,23.3,1511,3986,1933
Somnath,2025-01-02,8,Thursday,0,0,0,Cloudy,24.6,1933,4715,2166
Somnath,2025-01-02,9,Thursday,0,0,0,Cloudy,25.3,2166,5086,2137
Somnath,2025-01-02,10,Thursday,0,0,0,Cloudy,27.8,2137,4362,1417
Somnath,2025-01-02,11,Thursday,0,0,0,Cloudy,27.6,1417,4058,1393
Somnath,2025-01-02,12,Thursday,0,0,0,Cloudy,28.6,1393,2975,844
Somnath,2025-01-02,13,Thursday,0,0,0,Cloudy,29.4,844,2229,656
Somnath,2025-01-02,14,Thursday,0,0,0,Cloudy,29.3,656,2406,1016
Somnath,2025-01-02,15,Thursday,0,0,0,Rainy,29.7,1016,2257,883
Somnath,2025-01-02,16,Thursday,0,0,0,Cloudy,29.7,883,2991,1412
Somnath,2025-01-02,17,Thursday,0,0,0,Rainy,29.9,1412,3610,1638
Somnath,2025-01-02,18,Thursday,0,0,0,Cloudy,26.6,1638,4204,1879
Somnath,2025-01-02,19,Thursday,0,0,0,Cloudy,26.2,1879,4437,1861
Somnath,2025-01-02,20,Thursday,0,0,0,Cloudy,24.3,1861,3906,1393
Somnath,2025-01-02,21,Thursday,0,0,0,Cloudy,22.9,1393,3134,989
Somnath,2025-01-02,22,Thursday,0,0,0,Cloudy,21.3,989,1836,366
Somnath,2025-01-02,23,Thursday,0,0,0,Cloudy,21.4,366,968,130
Somnath,2025-01-03,0,Friday,0,0,0,Sunny,26.6,130,500,52
Somnath,2025-01-03,1,Friday,0,0,0,Sunny,25.1,52,250,25
Somnath,2025-01-03,2,Friday,0,0,0,Sunny,25.3,25,153,29
Somnath,2025-01-03,3,Friday,0,0,0,Sunny,26.1,29,167,69
Somnath,2025-01-03,4,Friday,0,0,0,Sunny,25.9,69,981,669
Somnath,2025-01-03,5,Friday,0,0,0,Sunny,26.4,669,1681,910
Somnath,2025-01-03,6,Friday,0,0,0,Sunny,27.9,910,3515,2030
Somnath,2025-01-03,7,Friday,0,0,0,Sunny,29.2,2030,4323,2119
Somnath,2025-01-03,8,Friday,0,0,0,Sunny,30.4,2119,5785,2829
Somnath,2025-01-03,9,Friday,0,0,0,Sunny,31.3,2829,5792,2325
Somnath,2025-01-03,10,Friday,0,0,0,Sunny,32.7,2325,5271,1968
